Code,Description
"02Q","Titan Airways"
"04Q","Tradewind Aviation"
"05Q","Comlux Aviation, AG"
"06Q","Master Top Linhas Aereas Ltd."
"07Q","Flair Airlines Ltd."
"09Q","Swift Air, LLC"
"0BQ","DCA"
"0CQ","ACM AIR CHARTER GmbH"
"0GQ","Inter Island Airways, d/b/a Inter Island Air"
"0HQ","Polar Airlines de Mexico d/b/a Nova Air"
"0J","JetClub AG"
"0JQ","Vision Airlines"
"0LQ","Metropix UK, LLP."
"0MQ","Multi-Aero,  d/b/a Air Choice One"
"0OQ","Open Skies"
"0Q","Flying Service N.V."
"0QQ","TAG Aviation (UK) Ltd."
"0RQ","TAG Aviation Espana S.L."
"0TQ","Corporatejets, XXI"
"0UQ","Comlux Malta, Ltd."
"0VQ","Ocean Sky (UK) Limited"
"0WQ","Avjet Corporation"
"0YQ","Comlux Malta Ltd."
"10Q","Swiss Air Ambulance"
"12Q","Unijet"
"13Q","Chartright Air "
"14Q","London Air Services Limited"
"15Q","Air Alsie A/S"
"17Q","Albinati Aeronautics SA"
"1AQ","Via Airlines d/b/a Charter Air Transport"
"1BQ","Dynamic Airways, LLC"
"1DQ","Island Airlines LLC"
"1EQ","KaiserAir, "
"1FQ","Alsek Air"
"1HQ","International Jet Management GmbH"
"1I","Sky Trek International Airlines"
"1IQ","Jet link AG"
"1JQ","Exec Direct Aviation Services Limited"
"1LQ","Bertelsmann Aviation GmbH"
"1MQ","Twin Cities Air Service LLC"
"1NQ","JSC The 224th Flight Unit State Airlines"
"1PQ","Makani Kai Air Charters"
"1QQ","City Wings Inc dba Seaflight"
"1RQ","Sun Air Express LLC dba Sun Air International"
"1SQ","Star Marianas Air "
"1TQ","Rhoades Aviation dba Transair"
"1UQ","Gainjet Aviation SA"
"1WQ","Ultimate JetCharters LLC dba Ultimate Air Shuttle"
"1XQ","Dassault Falcon Service"
"1YQ","Air Charter, Inc d/b/a Air Flamenco"
"1ZQ","Comlux Aruba NV"
"20Q","Orange Air"
"22Q","Gem Air LLC"
"23Q","Songbird Airways "
"24Q","Blue Jet SP Z o o"
"25Q","Mjet GmbH"
"26Q","Albinati aviation Limited"
"27Q","Jet Aviation Flight Services, "
"28Q","Menagerie Enterprises Inc d/b/a Monarch Air"
"29Q","Erickson Helicopters"
"2AQ","ABS JETS A.S"
"2BQ","Air Medical Ltd."
"2CQ","Altius Aviation LLC"
"2DQ","Aviation Partners of Boynton Beach LLC d/b/a Hummingbird Air"
"2E","Smokey Bay Air "
"2EQ","J&M Alaska Air Tours,  d/b/a Alaska Air Transit"
"2F","Frontier Flying Service"
"2GQ","Cavok Air LLC"
"2HQ","Elite Airways LLC"
"2JQ","Delux Public Charter LLC"
"2K","Aerolineas Galapagos S A Aerogal"
"2KQ","Longtail Aviation Ltd."
"2LQ","Tropic Ocean Airways LLC"
"2M","Midway Express Airlines"
"2NQ","LIMA NY Corp d/b/a Fly The Whale d/b/a Tailwind"
"2O","Island Air Service"
"2OQ","Talofa Airways Limited"
"2P","Air Philippines Corp d/b/a Airphil Express, Philippines Airlines"
"2PQ","21 Air LLC"
"2R","Regal Air"
"2RQ","Luxaviation S A"
"2T","Canada 3000 Airlines Ltd."
"2TQ","Trans Northern Airways d/b/a Air Unlimited Charter Services"
"2U","Valley Air Express "
"37","Zeal 320"
"3C","Regions Air, "
"3F","Pacific Airways, "
"3M","Silver Airways"
"3S","AeroLogic GmbH"
"3SD","Compagnie Aerienne Inter Regionale Express dba Air Antilles Express & Air Guyane"
"3U","Sichuan Airlines Co Ltd."
"4B","Boutique Air"
"4B (1)","Olson Air Service"
"4C","Aerovias de Intergracian Regional"
"4E","British Airtours Limited"
"4EQ","Tanana Air Service"
"4H","Belize Trans Air"
"4M","LAN Argentina"
"4M (1)","Lan Dominica"
"4N","Air North"
"4O","ABC Aerolineas SA de CV dba Interjet"
"4R","Regent Air Corporation"
"4S","Sol Air (Aero Hunduras)"
